Table 8. Vegetable planting. ,,,,,,,
Vegetables,"Seed or plants per100 feet",Depth of planting (in),Distance between rows (in),Distance between plants (in),Height of crop (ft),"Spring planting relative tofrost-free date",Fall planting relative to first freeze date
Asparagus,1 oz seed or 66 plants,"1-1½or 6-8",36-48,18,5,4 to 6 weeks before,not recommended
"Beans, snap bush",½ lb seed,1-1½,30-36,3-4,1½,1 to 4 weeks after,8 to 10 weeks before
"Beans, snap pole",½ lb seed,1-1½,36-48,4-6,6,1 to 4 weeks after,14 to 16 weeks before
"Beans, Lima bush",½ lb seed,1-1½,30-36,3-4,1½,1 to 4 weeks after,8 to 10 weeks before
"Beans, Lima pole",¼ lb seed,1-1½,36-48,12-18,6,1 to 4 weeks after,14 to 16 weeks before
Beets,1 oz seed,1,14-24,2,1½,4 to 6 weeks before,8 to 10 weeks before
Broccoli,¼ oz seed,½,24-36,14-24,3,4 to 6 weeks before,10 to 16 weeks before
Brussels Sprouts,¼ oz seed,½,24-36,14-24,2,4 to 6 weeks before,10 to 14 weeks before
Cabbage,¼ oz seed,½,24-36,14-24,1½,4 to 6 weeks before,10 to 16 weeks before
"Cabbage, Chinese",¼ oz seed,½,18-30,7-12,1½,4 to 6 weeks before,12 to 14 weeks before
Carrot,½ oz seed,½,14-24,2,1,4 to 6 weeks before,12 to 14 weeks before
Cauliflower,¼ oz seed,½,24-36,14-24,3,not recommended,10 to 16 weeks before
"Chard, Swiss",2 oz seed,1,18-30,6,1½,2 to 6 weeks before,12 to 16 weeks before
Collard (Kale),¼ oz seed,½,18-36,6-12,2,2 to 6 weeks before,8 to 12 weeks before
"Corn, sweet",3-4 oz seed,½,24-36,9-12,6,1 to 6 weeks after,12 to 14 weeks before
Cucumber,½ oz seed,½,48-72,8-12,1,1 to 6 weeks after,10 to 12 weeks before
Eggplant,1/8 oz seed,½,30-26,18-24,3,2 to 6 weeks after,12 to 16 weeks before
Garlic,1 lb seed,½,14-24,2-4,1,not recommended,4 to 6 weeks before
Kohlrabi,¼ oz seed,½,14-24,4-6,1½,2 to 6 weeks before,12 to 16 weeks before
Lettuce,¼ oz seed,½,18-24,2-3,1,6 weeks before or 2 weeks after,10 to 14 weeks before
"Muskmelon(Cantaloupe)",½ oz seed,1,60-96,24-36,1,1 to 6 weeks after,14 to 16 weeks before
Mustard,¼ oz seed,½,14-24,6-12,1½,1 to 6 weeks after,10 to 16 weeks before
Okra,2 oz seed,1,36-42,12-24,6,2 to 6 weeks after,12 to 16 weeks before
Onion (plants),"No seed/400-600 plants",½,14-24,2-3,1½,4 to 10 weeks before,not recommended
Onion (seed),1 oz seed,½,14-24,2-3,1½,6 to 8 weeks before,8 to 10 weeks before
Parsley,¼ oz seed,1/8,14-24,2-4,½,1 to 6 weeks before,6 to 16 weeks before
"Peas, English",1 lb seed,2-3,18-36,1,2,2 to 8 weeks before,2 to 12 weeks before
"Peas, Southern",½ lb seed,2-3,24-36,4-6,2½,2 to 10 weeks after,10-12 weeks before
Pepper,1/8 oz seed,½,30-36,18-24,3,1 to 8 weeks after,12 to 16 weeks before
"Potato, Irish",6-10 lb seed,4,30-36,10-15,2,4 to 6 weeks before,14 to 16 weeks before
"Potato, sweet","No seed/75-100 plants",3-5,36-48,12-16,1,2 to 8 weeks after,not recommended
Pumpkin,½ oz seed,½,60-96,36-48,1,1 to 4 weeks after,12 to 14 weeks before
Radish,1 oz seed,½,14-24,1,½,"6 weeks before/4 weeks after",1 to 8 weeks before
Spinach,1 oz seed,½,14-24,3-4,1,1 to 8 weeks before,2 to 16 weeks before
"Squash, summer",1 oz seed,½,36-60,18-36,3,1 to 4 weeks after,12 to 15 weeks before
"Squash, winter",½ oz seed,½,60-96,24-48,1,1 to 4 weeks after,12 to 14 weeks before
Tomato,1/8 oz seed or 50 plants,½ or 4-6,36-48,36-48,3,1 to 8 weeks after,12 to 14 weeks before
"Turnip, greens",½ oz seed,½,14-24,2-3,1½,2 to 6 weeks before,2 to 12 weeks before
"Turnip, roots",½ oz seed,½,14-24,2-3,1½,2 to 6 weeks before,2 to 12 weeks before
Watermelon,1 oz seed,½,72-96,36-72,1,1 to 6 weeks after,14 to 16 weeks before
,,,,,,,